nome,cpf,idade,data,endereco,bairro,estado
Maria Julia Barros,123 .***.***- 77,,,Área Nogueira,Solimoes,PE
Luiz Gustavo Silveira,178 .***.***- 03,,,Estação Mendes,Colégio Batista,PR
Ana Júlia Fernandes,795 .***.***- 76,,,"Passarela de Carvalho, 69",Coração De Jesus,SE
Luiz Miguel Novaes,754 .***.***- 28,,,"Morro de Nascimento, 17",Coqueiros,MG
Gabriel Santos,142 .***.***- 30,,,"Largo Viana, 3",Vila Fumec,PE
Srta. Sophie Vieira,624 .***.***- 17,,,"Loteamento de Viana, 65",Conjunto Novo Dom Bosco,PI
Júlia Cardoso,482 .***.***- 02,,,"Feira Gustavo Nascimento, 911",Vila Calafate,RS
Dra. Gabriela Jesus,846 .***.***- 40,,,Vereda Cunha,Jardim Do Vale,ES
Dr. João Gabriel Correia,038 .***.***- 08,,,"Aeroporto Augusto das Neves, 847",Maria Helena,TO
Luiz Gustavo Jesus,625 .***.***- 02,,,"Feira Fogaça, 914",Vila Dos Anjos,PI
Rodrigo Ferreira,527 .***.***- 49,,,"Estação Moraes, 13",Carmo,MG
Alícia Ribeiro,514 .***.***- 94,,,"Feira Maria Julia Costela, 21",Mariano De Abreu,MG
Sr. André da Mata,169 .***.***- 15,,,"Loteamento de Lima, 16",Conjunto Providencia,SE
Srta. Maria Julia Campos,245 .***.***- 55,,,"Rodovia Pires, 57",Vila De Sá,SP
João Gabriel Ferreira,018 .***.***- 03,,,Pátio Carvalho,Vila Primeiro De Maio,AP
Thomas Moraes,291 .***.***- 05,,,"Parque Melo, 462",Vila Cloris,GO
Clara Melo,860 .***.***- 57,,,"Alameda Vitor Gabriel Lopes, 52",Pedreira Padro Lopes,MS
Luigi Cavalcanti,078 .***.***- 50,,,"Campo de Campos, 83",Vila Tirol,RN
Dra. Stella da Costa,340 .***.***- 51,,,"Passarela Oliveira, 48",Santa Monica,RO
Isabella da Paz,289 .***.***- 65,,,"Via Letícia Nunes, 280",Monsenhor Messias,AL
Enzo da Rocha,874 .***.***- 13,,,"Travessa Ribeiro, 92",Pindorama,GO
Olivia Fernandes,016 .***.***- 48,,,"Conjunto Eduardo da Paz, 2",Dom Joaquim,AP
André da Mata,648 .***.***- 08,,,"Feira Clara Lima, 5",Vila Independencia 3ª Seção,MA
Pedro Henrique Cavalcanti,938 .***.***- 86,,,"Núcleo de Rocha, 9",Sport Club,SP
Joaquim Silveira,671 .***.***- 12,,,"Vila de Freitas, 80",Santo Antônio,AC
Mirella Rodrigues,216 .***.***- 94,,,"Fazenda de Lima, 95",Vila Das Oliveiras,RJ
Sra. Isabelly Azevedo,087 .***.***- 76,,,"Ladeira Caldeira, 5",Vila Paris,AC
Dr. Samuel Ferreira,720 .***.***- 87,,,"Travessa Ana Lívia da Mata, 63",Madri,ES
Otávio Carvalho,643 .***.***- 90,,,"Residencial Costa, 9",Cidade Jardim Taquaril,SE
Dra. Stephany da Mota,154 .***.***- 51,,,"Colônia Monteiro, 49",Europa,MT
Cauê Mendes,152 .***.***- 44,,,"Lagoa das Neves, 36",Marçola,BA
Alexandre Nunes,496 .***.***- 33,,,"Esplanada Souza, 437",Álvaro Camargos,MG
Maria Fernanda Aragão,372 .***.***- 53,,,"Favela de Carvalho, 28",Confisco,RS
João Guilherme Silva,820 .***.***- 30,,,"Praça Caroline Almeida, 19",Conjunto Bonsucesso,DF
Lorena Rezende,753 .***.***- 95,,,"Lagoa de Fogaça, 92",Pantanal,MG
Maria Sophia da Cruz,690 .***.***- 34,,,"Vale Ana Julia Porto, 19",Alto Barroca,MG
Milena das Neves,685 .***.***- 89,,,"Residencial de Cunha, 20",Santana Do Cafezal,PB
Kamilly da Cunha,520 .***.***- 80,,,"Travessa Lucca Carvalho, 38",Aeroporto,RO
Luiz Miguel Aragão,937 .***.***- 12,,,Aeroporto Ana Clara Oliveira,Indaiá,AM
Ana Laura Ribeiro,754 .***.***- 47,,,"Praia de da Mata, 18",São Jorge 3ª Seção,RJ
Lorena da Mota,162 .***.***- 90,,,"Favela de Azevedo, 62",Lindéia,MA
Emanuella Souza,617 .***.***- 07,,,"Loteamento Ferreira, 493",Lagoa,PI
Cecília Pinto,498 .***.***- 30,,,"Campo Vinicius Campos, 2",Conjunto São Francisco De Assis,MG
Pedro Henrique Cunha,584 .***.***- 00,,,"Condomínio Bruna Mendes, 55",Pongelupe,CE
Sra. Eloah da Mota,901 .***.***- 03,,,"Loteamento Freitas, 30",Primeiro De Maio,SP
Samuel da Rocha,159 .***.***- 97,,,"Trecho de Freitas, 8",Vila Piratininga Venda Nova,TO
Melissa Almeida,705 .***.***- 92,,,"Alameda de da Rosa, 2",São Salvador,PE
Carlos Eduardo da Mota,894 .***.***- 20,,,"Largo Juliana Barbosa, 182",Concórdia,RN
Dr. Vitor da Mota,789 .***.***- 28,,,Viela de da Paz,Minaslandia,PE
Dr. Diogo Costela,962 .***.***- 73,,,"Passarela João Lucas Nogueira, 753",São Pedro,PE
Rafaela Rodrigues,578 .***.***- 60,,,"Campo Vinicius Silva, 27",Lagoinha,AC
Vitor Hugo da Conceição,716 .***.***- 55,,,"Viaduto de Castro, 65",Jardim Vitoria,RR
Ana Laura Caldeira,518 .***.***- 73,,,"Estrada de Rocha, 305",Lourdes,PE
Dra. Laura Silveira,472 .***.***- 49,,,"Pátio Lopes, 1",Varzea Da Palma,AM
Sr. Rafael Pereira,492 .***.***- 79,,,"Recanto Gustavo Pereira, 77",Santo Antônio,PE
Manuela Mendes,518 .***.***- 60,,,"Largo Kevin Barbosa, 2",Vila Da Ária,MG
Igor Lopes,073 .***.***- 22,,,Recanto Azevedo,Vila Cloris,CE
Marcelo Moreira,346 .***.***- 87,,,"Trecho Igor Barros, 77",Mariano De Abreu,ES
Thomas Costela,428 .***.***- 22,,,Alameda de Pinto,Pousada Santo Antonio,RS
Luiz Otávio Gonçalves,637 .***.***- 90,,,"Trevo Rezende, 51",Bela Vitoria,MG
Stella da Costa,063 .***.***- 07,,,"Estação de Freitas, 32",Corumbiara,RR
Luana da Cruz,083 .***.***- 86,,,Distrito Rocha,Luxemburgo,CE
Maria Cecília Lima,132 .***.***- 89,,,"Recanto Silveira, 47",Olhos D'água,ES
Melissa Teixeira,642 .***.***- 78,,,"Residencial de Pires, 28",Laranjeiras,RS
Dr. Vinicius Pires,163 .***.***- 10,,,"Distrito de Lopes, 397",Alto Dos Pinheiros,MS
Luiz Miguel Farias,962 .***.***- 00,,,"Feira Cardoso, 21",Conjunto Minas Caixa,RN
Breno Correia,148 .***.***- 67,,,"Conjunto Daniel Fernandes, 403",Garças,GO
Laís Costela,306 .***.***- 53,,,"Parque Maitê Santos, 42",Boa Viagem,RS
Dr. Diego da Mata,293 .***.***- 41,,,"Quadra de da Mota, 62",Alto Caiçaras,MG
Letícia da Mota,852 .***.***- 02,,,"Viaduto Jesus, 11",Conjunto Jatoba,DF
Luna Ferreira,843 .***.***- 14,,,"Alameda Anthony Fogaça, 11",Mantiqueira,RS
Dr. Emanuel Silveira,430 .***.***- 80,,,"Quadra de Fogaça, 28",Pantanal,PI
Lorena Sales,263 .***.***- 15,,,Fazenda Caldeira,Satelite,AM
Davi da Mata,846 .***.***- 39,,,Vila Alves,Jardim Atlântico,DF
Isabel Melo,748 .***.***- 09,,,"Feira Enrico Nogueira, 1",Itaipu,PB
Raul Oliveira,298 .***.***- 64,,,"Rua Pedro Miguel da Luz, 95",Nossa Senhora Do Rosário,PA
Levi da Mata,192 .***.***- 32,,,Vila de da Mata,Cônego Pinheiro 2ª Seção,CE
Heloísa Castro,587 .***.***- 44,,,"Sítio de Cardoso, 88",Acaiaca,RS
Sra. Júlia da Paz,046 .***.***- 74,,,"Jardim Maria Sophia Ferreira, 95",Vila Nova Paraíso,CE
Luana Viana,213 .***.***- 21,,,"Praça de Castro, 980",Ernesto Nascimento,SE
Sr. Renan Sales,364 .***.***- 83,,,"Praça Olivia Silveira, 49",Novo Das Industrias,AC
Caio Aragão,714 .***.***- 62,,,"Área de Barros, 86",Boa Esperança,RN
Srta. Lavínia Ribeiro,263 .***.***- 51,,,"Alameda Gustavo Henrique Gonçalves, 50",Beija Flor,RJ
Sofia da Mata,806 .***.***- 84,,,"Jardim de Lopes, 7",Planalto,AM
André Araújo,819 .***.***- 13,,,"Alameda de da Mota, 94",Vila Paquetá,CE
Nathan Azevedo,285 .***.***- 82,,,"Lagoa Milena Ramos, 4",Caiçara - Adelaide,AM
Camila Teixeira,982 .***.***- 40,,,"Setor da Cunha, 39",Jardim Montanhês,RJ
Srta. Clara Souza,510 .***.***- 71,,,"Área Peixoto, 32",Flavio De Oliveira,SE
Yuri Nascimento,129 .***.***- 73,,,"Vereda Matheus Azevedo, 2",Serrano,AC
Srta. Marcela Gonçalves,148 .***.***- 87,,,"Praia Raul Campos, 12",Conjunto Providencia,CE
João Ramos,936 .***.***- 87,,,"Jardim Enzo da Paz, 47",Vila Ouro Minas,PR
Renan Rocha,720 .***.***- 92,,,"Vale Oliveira, 22",Nova Suíça,RS
Sr. Caio Souza,453 .***.***- 33,,,"Conjunto Maria Vitória da Cunha, 59",Serra Do Curral,MG
Clarice Farias,743 .***.***- 22,,,"Alameda Maria Fernanda Castro, 87",Maravilha,PI
Marcos Vinicius Jesus,597 .***.***- 00,,,"Praça de Moraes, 588",Nova America,PA
João Pedro Nunes,910 .***.***- 42,,,"Jardim de Ramos, 69",Vila Nova Gameleira 3ª Seção,PA
Levi Farias,659 .***.***- 52,,,"Quadra Mendes, 42",Vila Pinho,GO
Dr. Enzo da Costa,791 .***.***- 75,,,"Campo Marcela Silveira, 66",Álvaro Camargos,AM
Heloísa Alves,029 .***.***- 79,,,"Fazenda de Moraes, 637",Buraco Quente,PR
Luiz Henrique da Mota,842 .***.***- 91,,,"Recanto Alves, 105",Saudade,RR
Camila Caldeira,903 .***.***- 03,,,"Lago Jesus, 71",Frei Leopoldo,MA
Arthur Mendes,918 .***.***- 05,,,Esplanada Cauã Teixeira,Jardim América,SP
João Felipe Campos,362 .***.***- 06,,,"Praia Heitor Castro, 6",Jardim Leblon,MS
Guilherme Azevedo,174 .***.***- 16,,,"Viela Benjamin Campos, 1",Pompéia,CE
Dra. Laura Cunha,364 .***.***- 50,,,"Núcleo Castro, 7",Maria Helena,BA
Noah Moraes,108 .***.***- 12,,,"Estrada Lucas Gabriel Caldeira, 856",João Pinheiro,MG
Davi Lucca Lopes,260 .***.***- 90,,,"Trecho Freitas, 427",Alto Dos Pinheiros,AP
Sophia da Cruz,621 .***.***- 15,,,Via Ribeiro,Flavio De Oliveira,PR
Igor da Luz,740 .***.***- 85,,,"Lago Silva, 75",Vila Oeste,AC
Dr. Samuel Nascimento,692 .***.***- 73,,,"Travessa Duarte, 59",Brasil Industrial,RO
Maria Fernanda Freitas,968 .***.***- 28,,,Favela Sarah Porto,Conjunto São Francisco De Assis,DF
Eduarda Costa,206 .***.***- 68,,,"Morro Enzo Gabriel Teixeira, 84",Mirtes,RS
Lorenzo Monteiro,069 .***.***- 20,,,"Área da Mota, 13",Minas Caixa,AP
Caroline Cardoso,618 .***.***- 17,,,"Viaduto de Moreira, 1",Vera Cruz,DF
Henrique da Rocha,329 .***.***- 99,,,"Núcleo Luiz Gustavo Costela, 99",Juliana,SE
Lucas Gabriel Oliveira,743 .***.***- 38,,,Via Araújo,São Cristóvão,SE
Sr. Arthur Jesus,418 .***.***- 93,,,Lago de Cardoso,Santa Cecilia,MG
Marcos Vinicius da Cunha,572 .***.***- 43,,,Viaduto de Cardoso,Inconfidência,PA
Antônio Nogueira,061 .***.***- 71,,,"Quadra de da Mata, 49",Ouro Minas,MT
Sophia Monteiro,601 .***.***- 15,,,"Núcleo Araújo, 155",Lindéia,PA
Dr. Leandro Silva,497 .***.***- 85,,,"Estação Silva, 18",Serra,AM
Amanda Farias,185 .***.***- 08,,,"Praia Lavínia Moraes, 29",Conjunto Jatoba,RJ
Srta. Luna Peixoto,912 .***.***- 23,,,"Fazenda Rafaela Costela, 37",Havaí,CE
Sr. Igor Campos,183 .***.***- 62,,,"Fazenda Ferreira, 849",Lagoa,AP
Maria Sophia Correia,948 .***.***- 75,,,"Residencial Alana Dias, 51",Vitoria,TO
Bruno da Cruz,293 .***.***- 73,,,"Rua Evelyn da Cunha, 2",Alta Tensão 1ª Seção,ES
Amanda Cavalcanti,351 .***.***- 00,,,"Fazenda de Duarte, 99",São Sebastião,AC
Bruno Melo,721 .***.***- 52,,,"Trevo de da Costa, 7",Esplanada,AC
Dra. Elisa Nunes,875 .***.***- 05,,,"Vale Erick Moreira, 48",Vila Nova Cachoeirinha 2ª Seção,AP
Calebe Ramos,942 .***.***- 40,,,"Parque de Moraes, 36",Gutierrez,TO
Sr. Arthur Moraes,306 .***.***- 87,,,"Passarela Lima, 87",Jatobá,RJ
Júlia Silveira,913 .***.***- 57,,,Pátio Vitor Gabriel Rocha,São João Batista,SC
Sra. Isabelly Silva,732 .***.***- 00,,,"Rodovia Agatha Lopes, 7",Vila São Gabriel,DF
Dr. Otávio Azevedo,457 .***.***- 30,,,"Aeroporto de Ferreira, 2",Santa Helena,CE
Maria Cecília Aragão,264 .***.***- 49,,,"Trevo Aragão, 535",Salgado Filho,GO
Noah da Rosa,742 .***.***- 22,,,"Avenida Ferreira, 7",Antonio Ribeiro De Abreu 1ª Seção,DF
Sra. Laura Azevedo,540 .***.***- 71,,,Viaduto Marcelo Ramos,Universo,SP
Dr. Francisco Moreira,702 .***.***- 08,,,"Núcleo Silva, 7",Jaraguá,CE
Mariane das Neves,912 .***.***- 05,,,"Rodovia de Freitas, 782",Parque São José,SC
Enzo Monteiro,309 .***.***- 56,,,"Quadra Silveira, 76",João Paulo Ii,MG
Diego da Rocha,093 .***.***- 83,,,"Conjunto da Rosa, 22",Pindura Saia,MS
Ana Laura da Cruz,798 .***.***- 49,,,Parque Rodrigues,Vila Da Amizade,RO
Ana Sophia Gomes,384 .***.***- 46,,,"Lagoa Porto, 44",Unidas,GO
Ana Laura Costa,502 .***.***- 85,,,"Vila Sales, 913",Bela Vitoria,SP
Felipe Souza,187 .***.***- 84,,,"Setor Peixoto, 47",Palmeiras,SE
Luana Novaes,287 .***.***- 87,,,"Parque Luiz Gustavo da Conceição, 34",Santa Margarida,RS
Sra. Yasmin Nogueira,360 .***.***- 15,,,"Lago de Rocha, 482",Belmonte,PE
Benício Melo,904 .***.***- 67,,,Recanto Maitê Pereira,Vila Suzana Primeira Seção,DF
Daniela Aragão,726 .***.***- 53,,,"Feira Otávio Pereira, 93",Piraja,RR
Davi Luiz Sales,740 .***.***- 13,,,"Trecho João Gabriel Pires, 64",Nova Pampulha,RS
Milena Souza,904 .***.***- 70,,,"Praça de Ribeiro, 9",Santa Inês,SP
Maria Eduarda Ferreira,438 .***.***- 60,,,Passarela de Caldeira,Vila Sesc,AP
Sr. Diogo Lima,302 .***.***- 00,,,Estrada Danilo Monteiro,Conjunto Califórnia Ii,BA
Dr. Carlos Eduardo Araújo,496 .***.***- 47,,,"Rodovia Sophia Rodrigues, 88",Vila Independencia 2ª Seção,RR
Marina Gomes,934 .***.***- 00,,,Lagoa Souza,Copacabana,ES
Gustavo Henrique Duarte,254 .***.***- 60,,,"Área Ana Sophia Pereira, 32",Minas Caixa,TO
Caio Ramos,832 .***.***- 73,,,"Viaduto de Sales, 92",Buraco Quente,AL
Rafael Nunes,462 .***.***- 19,,,"Núcleo Monteiro, 504",São Bernardo,TO
Enzo Gabriel Cardoso,726 .***.***- 67,,,Núcleo Ribeiro,Vila Nova Cachoeirinha 1ª Seção,PE
Davi Cardoso,065 .***.***- 90,,,"Praça Ana Júlia Rezende, 38",Vila Coqueiral,PA
Daniel Pires,274 .***.***- 47,,,"Avenida Bruna Rodrigues, 724",Diamante,ES
Brenda da Mata,532 .***.***- 19,,,"Pátio Rocha, 75",Havaí,AC
Samuel Dias,852 .***.***- 24,,,"Viaduto Enzo Gabriel Moreira, 72",Vila Real 2ª Seção,CE
Gustavo Henrique da Costa,917 .***.***- 50,,,"Residencial Ribeiro, 60",Flamengo,RO
Theo Fogaça,091 .***.***- 05,,,"Travessa Cardoso, 95",Alta Tensão 1ª Seção,MT
Sra. Alexia Carvalho,483 .***.***- 71,,,Quadra Lorenzo Pires,Vila Olhos D'água,AC
Juliana Martins,432 .***.***- 56,,,Campo de Souza,Vila Jardim São José,RR
Luiz Gustavo da Rosa,280 .***.***- 97,,,"Via de da Paz, 5",Dona Clara,AL
Gabriela Freitas,367 .***.***- 26,,,"Trevo Carvalho, 9",Grajaú,BA
Enzo Gabriel Vieira,812 .***.***- 76,,,Travessa Novaes,Boa Vista,TO
Srta. Luna Nascimento,815 .***.***- 60,,,"Passarela de Nascimento, 916",João Paulo Ii,AL
Sophie da Mata,971 .***.***- 97,,,"Avenida de Almeida, 78",Vila Atila De Paiva,AL
Clarice Alves,973 .***.***- 65,,,Avenida Heloísa Costa,Cabana Do Pai Tomás,AC
Catarina Rodrigues,138 .***.***- 84,,,"Núcleo Farias, 97",Lourdes,RR
Antônio Vieira,017 .***.***- 53,,,"Favela de Lopes, 473",Lagoinha Leblon,PR
Dr. Nicolas da Conceição,105 .***.***- 80,,,"Quadra Mariana Costela, 87",Grajaú,BA
Maria Alice da Costa,290 .***.***- 92,,,"Rua Cardoso, 76",Olhos D'água,MA
Sr. Lucca Martins,906 .***.***- 70,,,"Pátio Paulo da Rosa, 93",Belvedere,TO
João Pedro Costa,532 .***.***- 41,,,Feira Cardoso,Conjunto Minas Caixa,RN
Maitê Gonçalves,034 .***.***- 20,,,"Distrito Giovanna Rodrigues, 37",Marieta 3ª Seção,PR
Ana Laura Ferreira,326 .***.***- 74,,,Estrada de Ramos,Garças,RO
Sabrina da Mata,172 .***.***- 02,,,"Viela de Moraes, 56",Vila Maria,MS
Alexandre das Neves,183 .***.***- 24,,,"Área de Novaes, 52",Itapoa,ES
Isadora da Cunha,471 .***.***- 31,,,"Viaduto Freitas, 622",Jardim Atlântico,PE
Dr. Luigi Fernandes,834 .***.***- 55,,,"Distrito Thomas Pires, 77",Bairro Das Indústrias Ii,MT
Sr. Yago Cavalcanti,758 .***.***- 05,,,Estrada Melo,Vila Independencia 3ª Seção,AM
Carolina Peixoto,396 .***.***- 96,,,"Loteamento Dias, 21",Camponesa 1ª Seção,RN
Ana Lívia Porto,067 .***.***- 44,,,"Colônia Vieira, 6",Milionario,SE
Henrique da Mata,896 .***.***- 74,,,"Aeroporto Vinicius Rezende, 18",Conjunto São Francisco De Assis,PR
Enrico Aragão,490 .***.***- 75,,,"Praça Almeida, 95",Vila Novo São Lucas,AP
Milena Cavalcanti,523 .***.***- 70,,,"Trecho Kevin Castro, 70",São Geraldo,PR
Davi Lucca Melo,731 .***.***- 14,,,"Passarela Kamilly Moreira, 704",Cardoso,SP
Clarice Fernandes,192 .***.***- 73,,,"Vereda Jesus, 7",Esplanada,SP
Dr. Luiz Fernando das Neves,146 .***.***- 37,,,"Viaduto de Martins, 24",Vila Antena,RO
Caio Azevedo,428 .***.***- 82,,,"Largo Cardoso, 23",Vila Nova Gameleira 2ª Seção,AL
Enrico Novaes,457 .***.***- 38,,,"Vila Heloísa Barbosa, 666",Conjunto São Francisco De Assis,RN
Ana Clara Moreira,075 .***.***- 53,,,Residencial de Aragão,Andiroba,SC
Enrico Ribeiro,965 .***.***- 66,,,"Loteamento Lopes, 2",Vila Satélite,CE
Evelyn Aragão,548 .***.***- 07,,,"Estrada Rebeca Caldeira, 440",Marçola,GO
Thales Moreira,406 .***.***- 07,,,Quadra Farias,Jardim Guanabara,RO
Heitor Mendes,097 .***.***- 61,,,Lagoa de Farias,Alta Tensão 2ª Seção,AL
Sarah Nascimento,938 .***.***- 10,,,"Largo de da Costa, 400",Vila Jardim Alvorada,CE
Sra. Yasmin Melo,510 .***.***- 49,,,"Loteamento Almeida, 821",Conjunto Santa Maria,TO
Dra. Emilly Alves, .***.***- ,,,"Avenida Nicole da Paz, 26",Vila Oeste,SP
Sr. Marcelo Costela,895 .***.***- 38,,,"Chácara Clarice da Costa, 135",Cardoso,BA
Maria Cecília Araújo,752 .***.***- 52,,,"Distrito Nathan Melo, 3",Universitário,PA
Enzo Gabriel Ribeiro,965 .***.***- 02,,,"Recanto Nunes, 87",Vila União,AP
Miguel da Rosa,168 .***.***- 03,,,"Esplanada Carvalho, 8",Paulo Vi,CE
Maria Vitória Ferreira,914 .***.***- 69,,,"Lago Lima, 6",Providencia,SP
Sr. Vitor Gabriel Gomes,348 .***.***- 60,,,"Vale Costela, 49",Jonas Veiga,MT
Bianca Pinto,541 .***.***- 06,,,"Lagoa Sales, 43",Vila Santa Monica 2ª Seção,AL
Igor Melo,519 .***.***- 39,,,Viaduto Nogueira,Grota,RO
Sra. Vitória Carvalho,528 .***.***- 38,,,"Jardim Fernanda Moura, 767",Cdi Jatoba,AM
Sofia Duarte,412 .***.***- 28,,,"Morro Isaac Freitas, 543",Vila Nova Cachoeirinha 2ª Seção,RR
Brenda Nogueira,160 .***.***- 33,,,"Pátio de Almeida, 4",Mala E Cuia,TO
Rafael Fogaça,569 .***.***- 68,,,"Setor de da Rosa, 401",Nova Vista,SP
Ana Nascimento,295 .***.***- 61,,,"Chácara de Martins, 14",Nossa Senhora Do Rosário,RN
Dr. Juan da Rocha,475 .***.***- 80,,,"Ladeira de da Mota, 16",Vila Jardim Leblon,MT
Ana Laura Rocha,531 .***.***- 70,,,"Sítio Thomas Rodrigues, 41",São Damião,AL
Maria Alice da Rocha,906 .***.***- 22,,,"Travessa de Correia, 46",Guarani,AC
Elisa Lopes,790 .***.***- 30,,,Passarela Alexandre da Cunha,Vila Coqueiral,RR
Davi Lucca Pereira,597 .***.***- 60,,,"Jardim de Barros, 16",Vila Califórnia,CE
Marina Fogaça,410 .***.***- 20,,,"Praça Luiz Henrique Correia, 81",Guaratã,PE
Bernardo Ramos,105 .***.***- 98,,,"Lagoa Luiza Gonçalves, 979",Piratininga,SE
Ana Lívia Lopes,971 .***.***- 02,,,"Parque de Barbosa, 57",Anchieta,GO
Miguel Silva,920 .***.***- 00,,,"Ladeira das Neves, 9",Nova Floresta,PE
Sr. Arthur da Cruz,693 .***.***- 38,,,Lago de Cavalcanti,Vila Betânia,TO
Julia da Mota,571 .***.***- 20,,,"Feira Nogueira, 68",Santo Antônio,TO
Agatha Rocha,853 .***.***- 30,,,Setor de Dias,São Benedito,RS
Isabel Cardoso,608 .***.***- 40,,,"Campo da Mata, 42",Morro Dos Macacos,MG
Marcos Vinicius Moura,451 .***.***- 19,,,"Parque Dias, 687",Paulo Vi,PR
Levi da Cunha,718 .***.***- 75,,,"Colônia de Viana, 6",Pongelupe,SE
Cauã Vieira,427 .***.***- 61,,,Via da Mata,Bernadete,RO
Maria Alice Ferreira,105 .***.***- 80,,,"Praça de Duarte, 194",Guarani,MT
Dra. Isabelly Souza,725 .***.***- 30,,,"Campo de Moura, 60",Primeiro De Maio,RN
Heitor Rezende,174 .***.***- 39,,,"Área Duarte, 628",Conjunto Lagoa,RR
Maria Vitória Jesus,493 .***.***- 70,,,"Sítio de Moura, 13",Paraíso,RS
Emanuel Duarte,762 .***.***- 76,,,"Rua de Fogaça, 71",Ouro Preto,AM
Ian Lima,163 .***.***- 66,,,"Rua de Martins, 9",União,AC
Vitor Alves,687 .***.***- 22,,,"Esplanada Ana Laura Oliveira, 667",Ribeiro De Abreu,DF
Rafael Ramos,946 .***.***- 84,,,"Esplanada Almeida, 4",Vila Fumec,PR
Ryan da Cunha,412 .***.***- 52,,,Morro de Cardoso,Camponesa 2ª Seção,GO
Maria da Cunha,539 .***.***- 06,,,Residencial de Duarte,Vila União,PE
Srta. Milena Cardoso,832 .***.***- 40,,,"Praça Almeida, 71",Capitão Eduardo,RJ
Bryan Ramos,043 .***.***- 89,,,"Praia Costa, 35",Jardim Leblon,GO
Luigi Santos,273 .***.***- 52,,,"Via Luigi Peixoto, 61",São Gabriel,AP
Isabella Duarte,023 .***.***- 17,,,"Estrada Diogo da Mata, 91",Vila Nova Cachoeirinha 3ª Seção,PI
Sophie Azevedo,214 .***.***- 49,,,"Rua Kaique Freitas, 8",Universo,RR
Matheus Carvalho,592 .***.***- 09,,,Viela de Almeida,União,RN
Júlia da Cruz,714 .***.***- 39,,,Lagoa João Pedro Alves,Das Industrias I,PB
Vitor Peixoto,489 .***.***- 06,,,"Trevo de Cardoso, 40",Vale Do Jatoba,RS
Amanda Castro,305 .***.***- 41,,,"Favela Erick Pereira, 672",Vila Copacabana,AM
Lucas Lima,240 .***.***- 01,,,"Vale Igor Castro, 928",Maravilha,BA
Raquel Ramos,052 .***.***- 25,,,"Vereda de Costa, 27",Madre Gertrudes,RN
Dra. Rebeca Nascimento,431 .***.***- 37,,,"Residencial Nogueira, 954",Vila Oeste,PB
Theo da Conceição,846 .***.***- 46,,,"Fazenda Maria Ribeiro, 81",Vila São Paulo,SE
Thiago da Cunha,631 .***.***- 24,,,"Viela de Aragão, 291",União,RJ
Davi Lucas Moreira,169 .***.***- 02,,,"Estrada de da Costa, 92",Vila Do Pombal,PA
Helena Costela,950 .***.***- 68,,,"Colônia de Fogaça, 78",Vila Aeroporto Jaraguá,AC
Beatriz Peixoto,243 .***.***- 96,,,"Campo de Moura, 904",Alto Caiçaras,PE
Luigi Fernandes,846 .***.***- 20,,,"Estação Igor Cunha, 21",Pilar,PB
Gabrielly Almeida,831 .***.***- 14,,,"Estrada da Conceição, 23",Indaiá,MS
Luigi Porto, .***.***- ,,,"Parque de Santos, 88",São João,PI
Samuel Sales,439 .***.***- 55,,,"Morro de Costela, 73",Vila Da Luz,MG
Dr. Otávio Costa,095 .***.***- 59,,,"Chácara da Conceição, 2",Juliana,BA
Srta. Ana Beatriz da Mata,429 .***.***- 67,,,"Feira de Martins, 79",Vitoria Da Conquista,PA
João Rodrigues,594 .***.***- 76,,,"Colônia Duarte, 56",Marmiteiros,PE
Nathan Farias,521 .***.***- 32,,,"Travessa Joana Gonçalves, 44",Lajedo,AL
Dr. Rafael Pereira,581 .***.***- 55,,,"Sítio Isis Campos, 81",Distrito Industrial Do Jatoba,AC
Júlia Pereira,871 .***.***- 12,,,Lagoa Santos,Petropolis,MT
Dra. Laura Barbosa,031 .***.***- 04,,,"Ladeira de Moura, 84",Nova Suíça,RR
Juliana Pinto,385 .***.***- 93,,,"Rodovia Sales, 21",Vila Canto Do Sabiá,PI
Joana Monteiro,138 .***.***- 39,,,"Parque de Costela, 668",Aguas Claras,TO
Dr. Yago da Rocha,698 .***.***- 28,,,"Fazenda Cavalcanti, 859",Alto Barroca,MT
Miguel Nogueira,869 .***.***- 22,,,Quadra de Ferreira,Cenaculo,PI
Isadora da Rocha,725 .***.***- 70,,,"Via Igor da Mata, 81",Laranjeiras,ES
Clara Costela,380 .***.***- 50,,,"Trevo João Pedro Araújo, 7",Sagrada Família,DF
Dr. Enzo Gabriel Rocha,473 .***.***- 61,,,"Condomínio da Cunha, 4",Unidas,PA
Maysa Monteiro,615 .***.***- 44,,,"Parque Henrique Teixeira, 32",Grotinha,RR
Maria Alice da Rosa,710 .***.***- 66,,,"Vereda Silveira, 8",Bom Jesus,RR
Maysa Lopes,196 .***.***- 76,,,"Avenida de Araújo, 28",Esplanada,RS
Srta. Yasmin Jesus,586 .***.***- 44,,,"Fazenda Letícia Costela, 6",Petropolis,AM
Mariana Costela,372 .***.***- 00,,,"Campo Peixoto, 75",Independência,SC
Clara Almeida,842 .***.***- 92,,,"Parque Eloah Costa, 91",São Geraldo,RS
Sofia Aragão,687 .***.***- 08,,,"Rua de Santos, 955",Ambrosina,RS
Elisa Barros,546 .***.***- 20,,,"Estrada Sales, 13",Jardim Felicidade,RN
Joana Silva,349 .***.***- 57,,,Chácara Miguel Fogaça,Laranjeiras,PE
